job_title,industry,job_description,skills_required,experience_required,job_description_clean,skills_required_list
SEO Specialist,Marketing,"SEO Specialist role in Marketing requiring skills: Social Media, PPC, Brand Management, SEO, Marketing Strategy, Google Analytics with 5+ years experience.","Social Media, PPC, Brand Management, SEO, Marketing Strategy, Google Analytics",5,"seo specialist role in marketing requiring skills social media, ppc, brand management, seo, marketing strategy, google analytics with 5 years experience","['Social Media', 'PPC', 'Brand Management', 'SEO', 'Marketing Strategy', 'Google Analytics']"
Professor,Education,"Professor role in Education requiring skills: Teaching, Curriculum Design, Python, Educational Technology, Research with 10+ years experience.","Teaching, Curriculum Design, Python, Educational Technology, Research",10,"professor role in education requiring skills teaching, curriculum design, python, educational technology, research with 10 years experience","['Teaching', 'Curriculum Design', 'Python', 'Educational Technology', 'Research']"
Digital Marketing Analyst,Marketing,"Digital Marketing Analyst role in Marketing requiring skills: Marketing Strategy, Email Marketing, SEO, PPC, Content Marketing, Brand Management with 3+ years experience.","Marketing Strategy, Email Marketing, SEO, PPC, Content Marketing, Brand Management",3,"digital marketing analyst role in marketing requiring skills marketing strategy, email marketing, seo, ppc, content marketing, brand management with 3 years experience","['Marketing Strategy', 'Email Marketing', 'SEO', 'PPC', 'Content Marketing', 'Brand Management']"
Backend Developer,Technology,"Backend Developer role in Technology requiring skills: Docker, Git, Agile, Node.js, SQL, Java with 5+ years experience.","Docker, Git, Agile, Node.js, SQL, Java",5,"backend developer role in technology requiring skills docker, git, agile, nodejs, sql, java with 5 years experience","['Docker', 'Git', 'Agile', 'Node.js', 'SQL', 'Java']"
Sales Analyst,Sales,"Sales Analyst role in Sales requiring skills: Negotiation, Presentation Skills, Lead Generation, Excel, Sales Strategy, CRM with 10+ years experience.","Negotiation, Presentation Skills, Lead Generation, Excel, Sales Strategy, CRM",10,"sales analyst role in sales requiring skills negotiation, presentation skills, lead generation, excel, sales strategy, crm with 10 years experience","['Negotiation', 'Presentation Skills', 'Lead Generation', 'Excel', 'Sales Strategy', 'CRM']"
ML Engineer,Data,"ML Engineer role in Data requiring skills: PyTorch, Spark, Statistics, Deep Learning, R with 3+ years experience.","PyTorch, Spark, Statistics, Deep Learning, R",3,"ml engineer role in data requiring skills pytorch, spark, statistics, deep learning, r with 3 years experience","['PyTorch', 'Spark', 'Statistics', 'Deep Learning', 'R']"
Business Analyst,Data,"Business Analyst role in Data requiring skills: SQL, Excel, Statistics, PowerBI, Big Data with 4+ years experience.","SQL, Excel, Statistics, PowerBI, Big Data",4,"business analyst role in data requiring skills sql, excel, statistics, powerbi, big data with 4 years experience","['SQL', 'Excel', 'Statistics', 'PowerBI', 'Big Data']"
Software Engineer,Technology,"Software Engineer role in Technology requiring skills: C++, Cloud, Git with 6+ years experience.","C++, Cloud, Git",6,"software engineer role in technology requiring skills c, cloud, git with 6 years experience","['C++', 'Cloud', 'Git']"
Clinical Researcher,Healthcare,"Clinical Researcher role in Healthcare requiring skills: Clinical Data Analysis, Patient Care, Healthcare Analytics, Research with 4+ years experience.","Clinical Data Analysis, Patient Care, Healthcare Analytics, Research",4,"clinical researcher role in healthcare requiring skills clinical data analysis, patient care, healthcare analytics, research with 4 years experience","['Clinical Data Analysis', 'Patient Care', 'Healthcare Analytics', 'Research']"
Robotics Engineer,Engineering,"Robotics Engineer role in Engineering requiring skills: Python, Project Management, PLC Programming, MATLAB, AutoCAD with 9+ years experience.","Python, Project Management, PLC Programming, MATLAB, AutoCAD",9,"robotics engineer role in engineering requiring skills python, project management, plc programming, matlab, autocad with 9 years experience","['Python', 'Project Management', 'PLC Programming', 'MATLAB', 'AutoCAD']"
Sales Manager,Sales,"Sales Manager role in Sales requiring skills: Excel, Presentation Skills, Business Development with 9+ years experience.","Excel, Presentation Skills, Business Development",9,"sales manager role in sales requiring skills excel, presentation skills, business development with 9 years experience","['Excel', 'Presentation Skills', 'Business Development']"
Data Scientist,Data,"Data Scientist role in Data requiring skills: Spark, Excel, Tableau with 4+ years experience.","Spark, Excel, Tableau",4,"data scientist role in data requiring skills spark, excel, tableau with 4 years experience","['Spark', 'Excel', 'Tableau']"
Medical Data Analyst,Healthcare,"Medical Data Analyst role in Healthcare requiring skills: Clinical Data Analysis, Research, Patient Care, Medical Terminology with 9+ years experience.","Clinical Data Analysis, Research, Patient Care, Medical Terminology",9,"medical data analyst role in healthcare requiring skills clinical data analysis, research, patient care, medical terminology with 9 years experience","['Clinical Data Analysis', 'Research', 'Patient Care', 'Medical Terminology']"
QA Engineer,Technology,"QA Engineer role in Technology requiring skills: SQL, CI/CD, Kubernetes with 4+ years experience.","SQL, CI/CD, Kubernetes",4,"qa engineer role in technology requiring skills sql, cicd, kubernetes with 4 years experience","['SQL', 'CI/CD', 'Kubernetes']"
Frontend Developer,Technology,"Frontend Developer role in Technology requiring skills: React, Python, CI/CD, Docker, SQL, C++ with 9+ years experience.","React, Python, CI/CD, Docker, SQL, C++",9,"frontend developer role in technology requiring skills react, python, cicd, docker, sql, c with 9 years experience","['React', 'Python', 'CI/CD', 'Docker', 'SQL', 'C++']"
Risk Analyst,Finance,"Risk Analyst role in Finance requiring skills: Financial Analysis, SQL, Taxation, Accounting with 3+ years experience.","Financial Analysis, SQL, Taxation, Accounting",3,"risk analyst role in finance requiring skills financial analysis, sql, taxation, accounting with 3 years experience","['Financial Analysis', 'SQL', 'Taxation', 'Accounting']"
SEO Specialist,Marketing,"SEO Specialist role in Marketing requiring skills: Content Marketing, Brand Management, Marketing Strategy, Google Analytics with 4+ years experience.","Content Marketing, Brand Management, Marketing Strategy, Google Analytics",4,"seo specialist role in marketing requiring skills content marketing, brand management, marketing strategy, google analytics with 4 years experience","['Content Marketing', 'Brand Management', 'Marketing Strategy', 'Google Analytics']"
ML Engineer,Data,"ML Engineer role in Data requiring skills: R, NLP, SQL, PyTorch, TensorFlow with 4+ years experience.","R, NLP, SQL, PyTorch, TensorFlow",4,"ml engineer role in data requiring skills r, nlp, sql, pytorch, tensorflow with 4 years experience","['R', 'NLP', 'SQL', 'PyTorch', 'TensorFlow']"
Robotics Engineer,Engineering,"Robotics Engineer role in Engineering requiring skills: Project Management, SolidWorks, C++, AutoCAD with 2+ years experience.","Project Management, SolidWorks, C++, AutoCAD",2,"robotics engineer role in engineering requiring skills project management, solidworks, c, autocad with 2 years experience","['Project Management', 'SolidWorks', 'C++', 'AutoCAD']"
Teacher,Education,"Teacher role in Education requiring skills: Curriculum Design, Research, Teaching, Educational Technology, Communication with 2+ years experience.","Curriculum Design, Research, Teaching, Educational Technology, Communication",2,"teacher role in education requiring skills curriculum design, research, teaching, educational technology, communication with 2 years experience","['Curriculum Design', 'Research', 'Teaching', 'Educational Technology', 'Communication']"
Backend Developer,Technology,"Backend Developer role in Technology requiring skills: Java, Agile, Linux, CI/CD, React, Git with 5+ years experience.","Java, Agile, Linux, CI/CD, React, Git",5,"backend developer role in technology requiring skills java, agile, linux, cicd, react, git with 5 years experience","['Java', 'Agile', 'Linux', 'CI/CD', 'React', 'Git']"
