job_title,industry,job_description,skills_required,experience_required
SEO Specialist,Marketing,"SEO Specialist role in Marketing requiring skills: Social Media, PPC, Brand Management, SEO, Marketing Strategy, Google Analytics with 5+ years experience.","Social Media, PPC, Brand Management, SEO, Marketing Strategy, Google Analytics",5
Professor,Education,"Professor role in Education requiring skills: Teaching, Curriculum Design, Python, Educational Technology, Research with 10+ years experience.","Teaching, Curriculum Design, Python, Educational Technology, Research",10
Digital Marketing Analyst,Marketing,"Digital Marketing Analyst role in Marketing requiring skills: Marketing Strategy, Email Marketing, SEO, PPC, Content Marketing, Brand Management with 3+ years experience.","Marketing Strategy, Email Marketing, SEO, PPC, Content Marketing, Brand Management",3
Backend Developer,Technology,"Backend Developer role in Technology requiring skills: Docker, Git, Agile, Node.js, SQL, Java with 5+ years experience.","Docker, Git, Agile, Node.js, SQL, Java",5
Sales Analyst,Sales,"Sales Analyst role in Sales requiring skills: Negotiation, Presentation Skills, Lead Generation, Excel, Sales Strategy, CRM with 10+ years experience.","Negotiation, Presentation Skills, Lead Generation, Excel, Sales Strategy, CRM",10
ML Engineer,Data,"ML Engineer role in Data requiring skills: PyTorch, Spark, Statistics, Deep Learning, R with 3+ years experience.","PyTorch, Spark, Statistics, Deep Learning, R",3
Business Analyst,Data,"Business Analyst role in Data requiring skills: SQL, Excel, Statistics, PowerBI, Big Data with 4+ years experience.","SQL, Excel, Statistics, PowerBI, Big Data",4
Software Engineer,Technology,"Software Engineer role in Technology requiring skills: C++, Cloud, Git with 6+ years experience.","C++, Cloud, Git",6
Clinical Researcher,Healthcare,"Clinical Researcher role in Healthcare requiring skills: Clinical Data Analysis, Patient Care, Healthcare Analytics, Research with 4+ years experience.","Clinical Data Analysis, Patient Care, Healthcare Analytics, Research",4
Robotics Engineer,Engineering,"Robotics Engineer role in Engineering requiring skills: Python, Project Management, PLC Programming, MATLAB, AutoCAD with 9+ years experience.","Python, Project Management, PLC Programming, MATLAB, AutoCAD",9
Sales Manager,Sales,"Sales Manager role in Sales requiring skills: Excel, Presentation Skills, Business Development with 9+ years experience.","Excel, Presentation Skills, Business Development",9
Data Scientist,Data,"Data Scientist role in Data requiring skills: Spark, Excel, Tableau with 4+ years experience.","Spark, Excel, Tableau",4
Medical Data Analyst,Healthcare,"Medical Data Analyst role in Healthcare requiring skills: Clinical Data Analysis, Research, Patient Care, Medical Terminology with 9+ years experience.","Clinical Data Analysis, Research, Patient Care, Medical Terminology",9
QA Engineer,Technology,"QA Engineer role in Technology requiring skills: SQL, CI/CD, Kubernetes with 4+ years experience.","SQL, CI/CD, Kubernetes",4
